quarter,date,Good_job_residual,Trust_MPS_residual,Fair_treatment_residual
Q1_1718,2017-04-01 00:00:00,0.13826612063407714,0.09547052497220349,0.0871418801181135
Q1_1819,2018-04-01 00:00:00,0.10894402054758201,0.07348470726545253,0.07207022378293512
Q1_1920,2019-04-01 00:00:00,0.05204865468467374,0.054944167863486215,0.07108963526591482
Q1_2021,2020-04-01 00:00:00,0.039910993004221317,0.055192532046437516,0.06907364489796916
Q1_2122,2021-04-01 00:00:00,0.0011393358370405463,0.014559913396741897,-0.0033327399377027778
Q1_2223,2022-04-01 00:00:00,-0.04917478046045882,-0.051180092752832786,-0.07007984463003517
Q1_2324,2023-04-01 00:00:00,-0.05041577860740776,-0.07199295074077543,-0.056145046451141295
Q1_2425,2024-04-01 00:00:00,-0.06115788334530618,-0.06057445596064349,-0.06828170322059056
Q1_2526,2025-04-01 00:00:00,-0.08765732014554374,-0.03201496516182152,-0.04188149571954268
Q2_1718,2017-07-01 00:00:00,0.13152915440372875,0.08548200889212079,0.07917280202683624
Q2_1819,2018-07-01 00:00:00,0.09177007855703134,0.06607972342276743,0.06445695543779698
Q2_1920,2019-07-01 00:00:00,0.050394214555560514,0.06047011336716113,0.07824424963320681
Q2_2021,2020-07-01 00:00:00,0.035827721371435875,0.04273371574244645,0.05039106628317974
Q2_2122,2021-07-01 00:00:00,-0.015374571156656615,-1.787144558040507e-05,-0.026343303894743438
Q2_2223,2022-07-01 00:00:00,-0.039801775800271846,-0.058965805417362675,-0.06502660966684083
Q2_2324,2023-07-01 00:00:00,-0.05611556435980062,-0.07460331035889618,-0.05537107599703331
Q2_2425,2024-07-01 00:00:00,-0.07108031720721282,-0.05261993315419884,-0.06566537513124936
Q2_2526,2025-07-01 00:00:00,-0.07708941867214801,-0.030971659822781807,-0.03122427796279392
Q3_1718,2017-10-01 00:00:00,0.1303497571140977,0.08278081820141345,0.07073727354930955
Q3_1819,2018-10-01 00:00:00,0.0844396369540021,0.06590584503808267,0.07017359184305899
Q3_1920,2019-10-01 00:00:00,0.04659431465288979,0.060543703623679515,0.08231560178331246
Q3_2021,2020-10-01 00:00:00,0.021460874848302912,0.029836296076013225,0.02845994344850349
Q3_2122,2021-10-01 00:00:00,-0.023826018119467367,-0.007675575229238899,-0.0363103888949878
Q3_2223,2022-10-01 00:00:00,-0.05173389826281902,-0.067042791790738,-0.06581293513097347
Q3_2324,2023-10-01 00:00:00,-0.05927510042985141,-0.08089538301014475,-0.06681532777568483
Q3_2425,2024-10-01 00:00:00,-0.07633696658905474,-0.04347139327838459,-0.05575717501054178
Q3_2526,2025-10-01 00:00:00,-0.08546010229160966,-0.05185070813681426,-0.04011464070948702
Q4_1718,2018-01-01 00:00:00,0.12000647381504899,0.07607185404948208,0.06637895055596688
Q4_1819,2019-01-01 00:00:00,0.06576730211254128,0.05818372954560072,0.06789842959956313
Q4_1920,2020-01-01 00:00:00,0.03785109959446989,0.05632706553340529,0.07595768297613924
Q4_2021,2021-01-01 00:00:00,0.009005924201597442,0.022618117839057456,0.016389069332338243
Q4_2122,2022-01-01 00:00:00,-0.05012067646388503,-0.0404303754859796,-0.06562561786915339
Q4_2223,2023-01-01 00:00:00,-0.04172515248698263,-0.0606167310709488,-0.04852305989982641
Q4_2324,2024-01-01 00:00:00,-0.06079306966047682,-0.07321569231335173,-0.07252677554436336
Q4_2425,2025-01-01 00:00:00,-0.08743674300811,-0.03688589202715139,-0.051294046608575575
Q4_2526,2026-01-01 00:00:00,-0.12073053982123413,-0.08399998930327333,-0.0638195604788748
