Month,distinct_headline_count,top_headline,top_headline_source_count
6/1/2021,380,Met Police accused of ‘institutional corruption’ over Daniel Morgan murder,11
7/1/2021,371,Amy Winehouse remembered on 10th anniversary of her death,11
6/1/2022,471,Business leaders urge PM to pull back from ‘damaging trade war’ with Brussels,11
10/1/2022,372,Home Secretary announces plans to crack down on climate protests,11
12/1/2023,314,Antiques Roadshow porcelain expert Henry Sandon dies aged 95,11
6/1/2024,422,"Alan Bates, Gordon Brown and Tracey Emin headline in King’s Birthday Honours",11
1/1/2025,370,Police hunt killer after 14-year-old stabbed to death on London bus,11
3/1/2025,420,Man arrested after Big Ben clock tower incident,11
4/1/2025,402,Police appeal for information after statues targeted during trans rights rally,11
5/1/2025,310,"Iranian man, 31, fourth to be arrested in ‘foreign power threat’ terror probe",11
6/1/2025,202,EastEnders star suspended by BBC after disabled slur on Strictly set,11
8/1/2025,409,Amber heat alert as fourth summer heatwave pushes temperatures towards 34C,11
9/1/2025,444,Mahmood to host Five Eyes border talks in first major job as Home Secretary,11
10/1/2025,521,Four arrested over synagogue terror attack remain in custody,11
11/1/2025,382,Train hero fights for life as knife attack suspect remains in police custody,11
12/1/2025,315,Greta Thunberg arrested at protest supporting Palestine Action hunger strikers,11
1/1/2026,341,Bitterly cold start to year to continue as heavy snow falls in some areas,11
2/1/2026,341,Andrew invited Epstein and ‘cute’ Romanian woman to Buckingham Palace dinner,11
3/1/2026,260,Keir Starmer to reassure public as Iran conflict enters tenth day,11
5/1/2015,641,Cameron promises a fresh start,10
6/1/2015,648,Britain to boost anti-IS efforts,10
8/1/2015,458,Ecuador hits back at UK criticism over Julian Assange,10
9/1/2015,587,IS hackers 'targeted email accounts of Government ministers',10
10/1/2015,546,Sierra Leone sprinter Jimmy Thoronka 'loses bid to stay in UK',10
11/1/2015,633,Bedfordshire Police speed camera cash 'would go to the Government',10
12/1/2015,599,DJ Neil Fox 'took phone calls from teenage girl while on air',10
1/1/2016,575,"Three killed, one seriously hurt in separate New Year train incidents",10
2/1/2016,514,Britain braces itself with fresh blast of wintry weather on the way,10
3/1/2016,487,Cancer victim's mother thanks JK Rowling in poignant letter,10
4/1/2016,551,'Rathkeale Rovers' gang members jailed over £57m rhino horn conspiracy,10
5/1/2016,700,Ebola nurse Pauline Cafferkey feared she might 'die a horrible death',10
6/1/2016,709,Alice Gross family 'stunned' foreign criminal suspect 'not monitored',10
7/1/2016,653,Alice Gross family urge tougher monitoring of foreign criminals,10
8/1/2016,618,Jon Voight backs 'visionary' Donald Trump for president,10
7/1/2017,831,Grieving community hold silent walk around charred remains of Grenfell Tower,10
5/1/2021,527,Ambulance crews to use iPads to improve patient care in England,10
8/1/2021,309,British firefighters fly in to help as Greece burns,10
1/1/2022,429,"Andrew cannot halt lawsuit with residency claim, US judge rules",10
9/1/2024,415,Britain’s last coal-fired power station set to close in landmark moment,10
10/1/2024,457,Campaigners and police call for change following death of Chris Kaba,10
12/1/2024,346,Charities urge Home Secretary to resume Syrian asylum claim decision-making,10
2/1/2025,350,Church of England meeting at time of ‘unprecedented crisis’ over abuse failings,10
7/1/2025,383,Chris Brown due to appear in court over alleged ‘bottle attack’ charge,10
4/1/2015,777,Miliband dismisses rent criticism,9
3/1/2015,907,story,7
