Source,Target,weight
ENFIELDINDEPENDENT.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
CHESTERSTANDARD.CO.UK,ENFIELDINDEPENDENT.CO.UK,4
CHESTERSTANDARD.CO.UK,YEOVILEXPRESS.CO.UK,4
CHESTERSTANDARD.CO.UK,BASILDONSTANDARD.CO.UK,4
LANCASHIRETELEGRAPH.CO.UK,WESTERNTELEGRAPH.CO.UK,4
LANCASHIRETELEGRAPH.CO.UK,MALDONANDBURNHAMSTANDARD.CO.UK,4
YEOVILEXPRESS.CO.UK,GREENOCKTELEGRAPH.CO.UK,4
YEOVILEXPRESS.CO.UK,CHESTERSTANDARD.CO.UK,4
YEOVILEXPRESS.CO.UK,WESTERNTELEGRAPH.CO.UK,4
YEOVILEXPRESS.CO.UK,BASILDONSTANDARD.CO.UK,4
WESTERNTELEGRAPH.CO.UK,ENFIELDINDEPENDENT.CO.UK,4
WESTERNTELEGRAPH.CO.UK,LANCASHIRETELEGRAPH.CO.UK,4
WESTERNTELEGRAPH.CO.UK,YEOVILEXPRESS.CO.UK,4
WESTERNTELEGRAPH.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
BASILDONSTANDARD.CO.UK,CHESTERSTANDARD.CO.UK,4
BASILDONSTANDARD.CO.UK,YEOVILEXPRESS.CO.UK,4
BASILDONSTANDARD.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
THETOTTENHAMINDEPENDENT.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
WILTSGLOSSTANDARD.CO.UK,GREENOCKTELEGRAPH.CO.UK,4
WILTSGLOSSTANDARD.CO.UK,ENFIELDINDEPENDENT.CO.UK,4
WILTSGLOSSTANDARD.CO.UK,WESTERNTELEGRAPH.CO.UK,4
WILTSGLOSSTANDARD.CO.UK,BASILDONSTANDARD.CO.UK,4
WILTSGLOSSTANDARD.CO.UK,THETOTTENHAMINDEPENDENT.CO.UK,4
WILTSGLOSSTANDARD.CO.UK,MALDONANDBURNHAMSTANDARD.CO.UK,4
MALDONANDBURNHAMSTANDARD.CO.UK,LANCASHIRETELEGRAPH.CO.UK,4
MALDONANDBURNHAMSTANDARD.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
GREENOCKTELEGRAPH.CO.UK,THETOTTENHAMINDEPENDENT.CO.UK,3
GREENOCKTELEGRAPH.CO.UK,HARWICHANDMANNINGTREESTANDARD.CO.UK,3
CHESTERSTANDARD.CO.UK,HARWICHANDMANNINGTREESTANDARD.CO.UK,3
THETOTTENHAMINDEPENDENT.CO.UK,GREENOCKTELEGRAPH.CO.UK,3
HARWICHANDMANNINGTREESTANDARD.CO.UK,GREENOCKTELEGRAPH.CO.UK,3
HARWICHANDMANNINGTREESTANDARD.CO.UK,CHESTERSTANDARD.CO.UK,3
GREENOCKTELEGRAPH.CO.UK,ENFIELDINDEPENDENT.CO.UK,3
GREENOCKTELEGRAPH.CO.UK,LANCASHIRETELEGRAPH.CO.UK,3
GREENOCKTELEGRAPH.CO.UK,BASILDONSTANDARD.CO.UK,3
