date,residual,metric
2017-04-01 00:00:00,9.702695386202201,Good job
2017-07-01 00:00:00,9.290213661529432,Good job
2017-10-01 00:00:00,7.897617701919744,Good job
2018-01-01 00:00:00,6.172920845044997,Good job
2018-04-01 00:00:00,6.09427073412623,Good job
2018-07-01 00:00:00,4.751907859924165,Good job
2018-10-01 00:00:00,2.207267130941247,Good job
2019-01-01 00:00:00,0.7658763666951366,Good job
2019-04-01 00:00:00,0.7886047875185728,Good job
2019-07-01 00:00:00,1.3173139640595426,Good job
2019-10-01 00:00:00,-0.16438635573785992,Good job
2020-01-01 00:00:00,-0.5169809701587461,Good job
2020-04-01 00:00:00,4.400131494909682,Good job
2020-07-01 00:00:00,4.304214756684747,Good job
2020-10-01 00:00:00,3.3331490568626805,Good job
2021-01-01 00:00:00,1.9165214887464401,Good job
2021-04-01 00:00:00,2.8301984806246616,Good job
2021-07-01 00:00:00,1.6679795167882365,Good job
2021-10-01 00:00:00,1.3065773112316703,Good job
2022-01-01 00:00:00,-1.5535082200520016,Good job
2022-04-01 00:00:00,-1.8261289510970293,Good job
2022-07-01 00:00:00,0.07767225371086098,Good job
2022-10-01 00:00:00,-1.9527935935118805,Good job
2023-01-01 00:00:00,-2.5088529917626334,Good job
2023-04-01 00:00:00,-2.537396197364428,Good job
2023-07-01 00:00:00,-4.375311376402711,Good job
2023-10-01 00:00:00,-5.2195300046849145,Good job
2024-01-01 00:00:00,-5.265704240017284,Good job
2024-04-01 00:00:00,-4.816762148414968,Good job
2024-07-01 00:00:00,-5.460784714642965,Good job
2024-10-01 00:00:00,-5.937842239697796,Good job
2025-01-01 00:00:00,-6.9727906209065385,Good job
2025-04-01 00:00:00,-4.564936343302035,Good job
2025-07-01 00:00:00,-3.297524104991862,Good job
2025-10-01 00:00:00,-4.3113501453517475,Good job
2026-01-01 00:00:00,-4.078286775009244,Good job
2017-04-01 00:00:00,6.416497246649759,Trust MPS
2017-07-01 00:00:00,5.409961812971831,Trust MPS
2017-10-01 00:00:00,4.108555712818194,Trust MPS
2018-01-01 00:00:00,2.8356167753264834,Trust MPS
2018-04-01 00:00:00,3.4945025901940756,Trust MPS
2018-07-01 00:00:00,2.9271940901153735,Trust MPS
2018-10-01 00:00:00,1.4467686849826769,Trust MPS
2019-01-01 00:00:00,0.9388802712069693,Trust MPS
2019-04-01 00:00:00,1.5622771339785113,Trust MPS
2019-07-01 00:00:00,2.6813041818189247,Trust MPS
2019-10-01 00:00:00,1.877674713745702,Trust MPS
2020-01-01 00:00:00,1.7537446864591866,Trust MPS
2020-04-01 00:00:00,4.918279043623243,Trust MPS
2020-07-01 00:00:00,4.337451013089608,Trust MPS
2020-10-01 00:00:00,2.9704269203947002,Trust MPS
2021-01-01 00:00:00,1.9961158607413296,Trust MPS
2021-04-01 00:00:00,3.2090063458278677,Trust MPS
2021-07-01 00:00:00,2.2031128586602136,Trust MPS
2021-10-01 00:00:00,1.482435175391894,Trust MPS
2022-01-01 00:00:00,-2.0159446496536417,Trust MPS
2022-04-01 00:00:00,-3.16506204301004,Trust MPS
2022-07-01 00:00:00,-2.914271208342946,Trust MPS
2022-10-01 00:00:00,-4.663550477476435,Trust MPS
2023-01-01 00:00:00,-5.1526216359759305,Trust MPS
2023-04-01 00:00:00,-5.173485442256098,Trust MPS
2023-07-01 00:00:00,-6.592731389125544,Trust MPS
2023-10-01 00:00:00,-7.535984896972583,Trust MPS
2024-01-01 00:00:00,-6.805039172155875,Trust MPS
2024-04-01 00:00:00,-5.008234658968648,Trust MPS
