date,metric,crime_type,residual,residual_z,perception_obs_pct,perception_pred_pct,headline_count,crime_count
2022-01-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-3.124154759880049,-0.655572749139823,73.6875,76.81165475988006,127,5640
2022-04-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-3.7576986481375974,-0.8028840539197981,72.46875,76.2264486481376,139,5842
2022-07-01 00:00:00,Trust MPS,SEXUAL OFFENCES,0.7012865225712206,0.23391692493306648,71.6875,70.98621347742878,75,5967
2022-10-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-5.185861306603434,-1.1349597136428617,70.9375,76.12336130660343,96,5445
2023-01-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-8.828984146840957,-1.9820567956542503,71.5625,80.39148414684095,193,5474
2023-04-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-7.076088347001064,-1.5744743499803673,70.21212121212122,77.28820955912228,160,5821
2023-07-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-7.26107999251907,-1.617488513923456,69.84848484848484,77.10956484100392,173,5944
2023-10-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-9.125559456547027,-2.0510163368132455,69.39393939393939,78.51949885048641,111,5212
2024-01-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-9.012544021827672,-2.0247380450368495,70.0909090909091,79.10345311273676,143,5380
2024-04-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-0.5657285382366317,-0.0606887768073771,71.45454545454545,72.02027399278208,111,6277
2024-07-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-0.1261542383254599,0.04152081729944017,72.15151515151514,72.27766938984061,130,6433
2024-10-01 00:00:00,Trust MPS,SEXUAL OFFENCES,1.102761139682784,0.3272676000463635,73.12121212121212,72.01845098152934,131,6487
2025-01-01 00:00:00,Trust MPS,SEXUAL OFFENCES,0.17699469907991316,0.11200885504954854,74.12121212121212,73.94421742213221,142,6259
2025-04-01 00:00:00,Trust MPS,SEXUAL OFFENCES,6.249737688726286,1.5240399865606584,74.33333333333334,68.08359564460706,114,6971
2025-07-01 00:00:00,Trust MPS,SEXUAL OFFENCES,3.94888352618179,0.9890465392636338,74.42424242424241,70.47535889806062,183,7215
2025-10-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-2.150889766208086,-0.42926966458349775,72.36363636363636,74.51452612984446,190,6528
2026-01-01 00:00:00,Trust MPS,SEXUAL OFFENCES,-2.4587647663111833,-0.5008566040440914,70.9090909090909,73.36785567540208,162,6527
2017-04-01 00:00:00,Trust MPS,THEFT,8.30391666712542,1.9997772926629978,88.21875,79.91483333287458,79,56459
2017-07-01 00:00:00,Trust MPS,THEFT,8.403108011571414,2.0227159415538893,87.34375,78.94064198842858,79,59175
2017-10-01 00:00:00,Trust MPS,THEFT,5.004956837278218,1.2368711977342994,86.875,81.87004316272179,91,56090
2018-01-01 00:00:00,Trust MPS,THEFT,5.189378425609892,1.2795198994558907,86.125,80.9356215743901,73,50929
2018-04-01 00:00:00,Trust MPS,THEFT,1.7477387162514235,0.48361814670862524,85.6875,83.93976128374858,102,53897
2018-07-01 00:00:00,Trust MPS,THEFT,-0.22437114266448122,0.027554808918421023,85.0625,85.28687114266448,123,56217
