metric,crime_type,params,pvalues,rsquared,rsquared_adj,hc3_params,hc3_bse,hc3_pvalues,durbin_watson,shapiro_p,skew,kurtosis,cooks_d,leverage,diag_plot,breusch_pagan.lm_stat,breusch_pagan.lm_pvalue,breusch_pagan.f_stat,breusch_pagan.f_pvalue
Good job,ARSON AND CRIMINAL DAMAGE,"[-15.528455013962008, 1.668502492738523, -0.04874261075613322]","[0.0751702650298472, 0.07912703875998113, 0.7301483993070041]",0.11750693680543878,0.06402250873304116,"[-15.528455013962008, 1.668502492738523, -0.04874261075613322]","[11.21512484375757, 1.2131116947249854, 0.1509052358483736]","[0.1754662796150451, 0.17827577654792387, 0.7487319751656236]",0.18401915606484223,0.03660658710233267,0.0955286400978521,-1.3162732581825036,"[0.14615924689352439, 0.08232808357462879, 0.09271537709041568, 0.048861064824844896, 0.04044170958029453, 0.07820423147387806, 0.011899342046277388, 0.012284517163875314, 0.003511112881692429, 0.0029381993396843495, 0.003858261137175407, 0.005658974555025891, 0.23907332057570413, 0.0026026626524028487, 0.03033024021592221, 0.14426510250879065, 2.497323551391047e-10, 0.00026254774889049, 0.00041028433710274466, 0.0008609611240436671, 0.003937650706618499, 0.0026517211396595805, 0.047566934485819896, 0.0009268613427111623, 0.013151231121690692, 0.0410038943598363, 0.021442886066775763, 0.022209534923424513, 0.013894804693873386, 0.0942063743149698, 0.025217117384831525, 0.02735470909481944, 0.04233206924131021, 0.035083916122755965, 0.013087300877695373, 0.029122839691985133]","[0.17121768466259824, 0.11500976900331322, 0.1305031675395773, 0.04780030886002412, 0.06594518891387086, 0.11238176561679869, 0.03628140327887278, 0.05677183298568944, 0.042638844325183084, 0.03761355288172445, 0.06374247240523434, 0.03774797831439293, 0.22480686269980338, 0.051481613393207476, 0.1795958143894017, 0.22201374099471088, 0.030540858134267185, 0.03104813973773045, 0.040283009997520436, 0.09543004938257693, 0.030246636747860746, 0.04544126523972536, 0.25633042529199257, 0.08157438209143081, 0.039880893800345936, 0.06686960931317118, 0.07615249933327412, 0.08089794788450722, 0.042645759410219, 0.09639963679991195, 0.06284314694425058, 0.07667278592297869, 0.05602824520538427, 0.04800181956497085, 0.033522689233984576, 0.11363819969949357]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_ARSON_AND_CRIMINAL_DAMAGE_20170401-20260101.png,5.5941719516868655,0.06098752305308106,3.035728448380612,0.061630617228277625
Good job,BURGLARY,"[-3.148956671640243, 0.28644212956228493, 0.16010024581983617]","[0.27692983310244873, 0.37255639404717295, 0.16498147620685025]",0.18251627561628758,0.13297180747182025,"[-3.148956671640243, 0.28644212956228493, 0.16010024581983617]","[2.997552089715675, 0.34223316886670524, 0.12086604297799419]","[0.3011164773520818, 0.4086246804851574, 0.1944013723035215]",0.1808271918733941,0.5589089800353174,0.295900173885814,-0.6143387422009092,"[0.14221150428234022, 0.041352135828250584, 0.06100963055976643, 0.042562074616847675, 0.08411666315902915, 0.018821110943609255, 0.010149772717357246, 0.0036628247990162103, 0.0014262641264300073, 0.006699142693757452, 0.00013224236747173132, 0.0002961101608779773, 0.05640926863839312, 0.14765797251558865, 0.0021496663613148124, 0.013190381943929264, 0.00610081491617409, 0.0026369488491725683, 0.007034448474186296, 0.0016454398292678008, 0.0022050597435290006, 0.0002949595582607892, 0.001431889953214371, 0.0004964976982067043, 0.022945614306111684, 0.007056495284505668, 0.03438630801487599, 0.03756261788176816, 0.015134028566002988, 0.03305169423316078, 0.09643174701050554, 0.053689661560695975, 0.020858763419630316, 0.01375100325840765, 0.012101908456897204, 0.03470982008889491]","[0.07265831683883767, 0.036930878110840885, 0.06876815304597914, 0.06254217456149569, 0.4142801128814897, 0.06462988326987704, 0.09234597491227266, 0.0750738600216559, 0.051558822736174154, 0.05700126800553809, 0.07122967484216403, 0.09415781927981831, 0.10049899875793217, 0.20340480094282554, 0.031172712658522603, 0.06879676449955047, 0.0805669433015807, 0.0716450041320714, 0.10004976690445994, 0.05827623757915657, 0.08495658615672488, 0.0945144507224602, 0.0577080440272104, 0.05552813279467357, 0.11124117697090308, 0.02969850351382903, 0.09965877400148598, 0.07894906371574789, 0.047892705529443275, 0.04430495049265079, 0.11415116529608885, 0.05729994632475012, 0.03479975080188688, 0.028068999134297907, 0.07750045286579715, 0.10813913036980949]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_BURGLARY_20170401-20260101.png,7.461045297260304,0.02398029929031543,4.313656498182008,0.021663906011774894
Good job,DOMESTIC ABUSE,"[25.1063605407609, -2.4263006967590863, -0.013487415611704795]","[0.0023227780535248588, 0.0028300446719907914, 0.8042127820833964]",0.30820070478033945,0.27525788119845085,"[25.1063605407609, -2.4263006967590863, -0.013487415611704795]","[7.672610463318532, 0.7594218735848626, 0.05534886666214034]","[0.0021383068866074805, 0.002653970989406949, 0.8086649783310879]",0.2366736701820084,0.053857376723357935,-0.29806182449140395,-1.0327165181139775,"[0.011765714079904862, 0.0018696801669448161, 0.015105514087352815, 0.013542552672787044, 0.006948891751545823, 0.030363773134276295, 0.0589045441751665, 0.011063755969600636, 0.011028218301801148, 0.03530436890162552, 0.02741268335984555, 0.05539169127566616, 0.018243234143940575, 0.02566901569758326, 0.041824457053566015, 0.020266177899781686, 0.012679029772692937, 0.006317640385930422, 0.015116630993185906, 0.004043623977628108, 0.001132916901755997, 0.03300144407005768, 0.08646616851874163, 6.553029233019087e-05, 0.0027871561030194856, 0.0011227675951028394, 0.00030460218553149713, 0.0005995064292822802, 0.006539431632162737, 0.004836227550809065, 0.0019029373524937748, 0.005003226854003276, 0.006369554504023547, 0.0005829183820768119, 0.0033224224803607896, 0.010979707622794349, 0.025622555377500834, 0.03483961941905717, 0.021298449762488677, 0.05644590002565594, 0.08296053382408865, 0.03430595403621194, 0.01385179132430208, 0.04539571471459268, 0.024978184852076094]","[0.1761354924348355, 0.09919470131735686, 0.09182844451671396, 0.09160801820746402, 0.09935276998048659, 0.09177375454075826, 0.10062901305347749, 0.10374292157144716, 0.10341118704714658, 0.04900380920141291, 0.04498892381609061, 0.11738097152103041, 0.14787792782930365, 0.03657255249258044, 0.0468829625883488, 0.07400663699536486, 0.08788585299975624, 0.04637236015101738, 0.05136795048060793, 0.04468788460556214, 0.050510265895620535, 0.0753236854535992, 0.11774379392648102, 0.025929883280179592, 0.04342130279413125, 0.05056027504835654, 0.07335522618914336, 0.03813407188271532, 0.03524389632618218, 0.036366700874885374, 0.06989140614820803, 0.030820186184013505, 0.029444148094428732, 0.09354664700838519, 0.08390818266842881, 0.03068173016651663, 0.028961735349962003, 0.036123675809254296, 0.03260541025454039, 0.055971370582768465, 0.06283092343499837, 0.04969289380493567, 0.045897155804387815, 0.06715438354451894, 0.031176914122603407]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_DOMESTIC_ABUSE_20150101-20260101.png,1.0876464917304811,0.5805245161814603,0.5201401086835113,0.5982162479908483
Good job,DRUG OFFENCES,"[-0.5559573298550897, -0.23030459986174506, 0.5868943903687722]","[0.804262323429202, 0.3107492029588734, 1.891024638176706e-06]",0.5326589304625451,0.5043352292784569,"[-0.5559573298550897, -0.23030459986174506, 0.5868943903687722]","[2.911198099899865, 0.30029985057652747, 0.08395056938034962]","[0.8497176239097263, 0.4485839761829023, 5.395381808270491e-08]",0.36980599530656133,0.4388911117626926,0.21086054991007,-0.7286096847944123,"[0.10690481372224403, 0.06437794659283125, 0.063639770097325, 0.053774643098063825, 0.007462773949409692, 0.006622417079236245, 9.614216271039433e-05, 0.0034918337861666016, 0.022887741897366674, 0.03227436041565111, 0.007295010833035221, 0.010065347546277753, 0.20852252546284022, 0.0024468567329698973, 0.023748960363242238, 0.003311777572354144, 0.003270247082166762, 0.002695127972293143, 6.858699579914815e-05, 1.6391595205667925e-06, 0.005526594063962577, 0.012522564660944698, 0.13260958353123636, 0.002486435253506634, 0.015659441395729393, 0.027355055441072893, 0.10713207939078748, 0.08174235355525163, 0.07844005977626985, 0.006252158665304845, 0.02318084294477239, 0.014437931255235577, 0.05270128083889743, 0.010382507805017772, 0.0005457184300509928, 0.0031354584807848857]","[0.07113704359128975, 0.047182042311367856, 0.06878540553075146, 0.09233177104475476, 0.12001587970089778, 0.0896750800452839, 0.09785432981721093, 0.10269852476875019, 0.11931506966282102, 0.1717716561651469, 0.08392334846035099, 0.05514040212526039, 0.22771658320992538, 0.05217009280834509, 0.057406132161155685, 0.049422142556844906, 0.03528435385748871, 0.05424751219922935, 0.03668780805653213, 0.053067232452644136, 0.03087612627689608, 0.09208551783013336, 0.19960342720010782, 0.07916711805212062, 0.04679390196119951, 0.03286728300305476, 0.10469276243725849, 0.09591643455368903, 0.0935585850596383, 0.05393348296171302, 0.04986694093337253, 0.050759663603754, 0.09575719207626011, 0.08911892677571825, 0.11639949964063523, 0.08277072710839822]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_DRUG_OFFENCES_20170401-20260101.png,5.0401304843156325,0.08045435756240706,2.68612737366602,0.08302220126549494
Good job,FRAUD AND FORGERY,"[-0.0891779633366929, -0.07386874208749025, 0.04402361463671507]","[0.765218943521406, 0.0007068873123429772, 0.5806544831393241]",0.49543143447123916,0.44231895388926423,"[-0.0891779633366929, -0.07386874208749025, 0.04402361463671507]","[0.437669551160049, 0.027725249105259375, 0.11202643999313816]","[0.8407103620441372, 0.015322597441416114, 0.6987120839262602]",0.5900805082611545,0.35474966467540536,0.7227899015396535,0.004592462120595275,"[0.5285696766232572, 0.10539791525978476, 0.0465553586841168, 0.004480766226862384, 0.006142247967612353, 0.03905746015189347, 0.042351224539245606, 0.003157336683993993, 1.1635973475133192e-05, 0.0007426359226055664, 0.2596019128326563, 0.003715064682214422, 0.004343362938696611, 0.051188662622760374, 0.41500535947748385, 0.01947588996502404, 0.0050677234218831834, 0.00695333217861926, 0.05490105172750508, 0.0867654878387409, 0.04095438665035485, 0.026674133000019265]","[0.1865591572329217, 0.10300668604574247, 0.13723696516567097, 0.19133214305032564, 0.06468765386464018, 0.1317116991445484, 0.10300668604574247, 0.054517838768728094, 0.054517838768728094, 0.06121048025333767, 0.24266988410065105, 0.045589093793739724, 0.06829497329597717, 0.15926627078047104, 0.364161182368244, 0.1867973485730401, 0.11416315196248383, 0.12203752829452819, 0.23312931679698723, 0.12334557801276502, 0.15397418544830932, 0.09878433823241806]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_FRAUD_AND_FORGERY_20200701-20260101.png,2.8875648321135134,0.23603329201234127,1.4352888924991913,0.2627161505061348
Good job,GUN CRIME,"[-5.112596274416716, 0.9072900224760125, -0.10705531716756146]","[7.758048378191744e-07, 5.5108302455431004e-08, 3.2798862506601805e-05]",0.6463321536979372,0.6294908276835531,"[-5.112596274416716, 0.9072900224760125, -0.10705531716756146]","[0.8570722841767894, 0.13182007966210652, 0.019903534136680646]","[4.4574725949617426e-07, 2.1385709142539128e-08, 3.0893151512141124e-06]",0.5203032410501801,0.18363382152123114,-0.4530865556908447,-0.47226631153234155,"[0.005001402115033759, 0.00358301131804755, 0.011490823005385242, 0.0064086587327789575, 0.15376389355770206, 0.0007855993167632533, 0.07534113047821236, 0.012139991751791729, 0.002833277778936651, 0.060341749148968005, 0.018473329514169065, 0.03323081994092766, 0.044939601555766734, 0.019130218606405677, 0.0015512798486988894, 0.0032105412700726573, 0.015465027342269268, 0.0025373638138661446, 0.00024195511955453822, 0.000616707601268893, 0.008983476159166537, 0.04355155862683692, 6.269543495882343e-05, 0.009057487338319329, 0.031097673589157653, 0.030673622778521443, 0.0027920957412502197, 0.0006715292345923329, 0.05549269340667926, 5.4754695280661175e-05, 0.002710680069071616, 0.004008474007738128, 5.601574281311716e-05, 1.833712528519018e-05, 0.003717801158179726, 6.071752565399803e-05, 0.010422605973964053, 0.014715307573267394, 0.03397668369229421, 0.04277750020796657, 0.020487118490527725, 0.03854790348928402, 0.014756068824967578, 0.02084212485870967, 0.0265112691245295]","[0.10582296234638099, 0.10607695096159442, 0.10701457620120489, 0.10586915922501478, 0.1377994167151999, 0.11087615000865256, 0.16678007365455982, 0.13194753016057714, 0.12177389666272748, 0.07672619044623438, 0.09987758462976054, 0.08613651988411353, 0.05847265309046115, 0.09548227889961844, 0.10935533798863806, 0.07280959605636711, 0.05074116628434128, 0.04328325979883655, 0.05382467783012399, 0.03598603504716408, 0.044688377075537467, 0.04700434158255908, 0.03883887788623824, 0.0394036225267045, 0.062215056559642753, 0.06004554280946574, 0.051216266737680934, 0.060892439970769395, 0.13142015065148546, 0.0568096100868038, 0.03165629697142016, 0.040954175155170365, 0.042743328197350904, 0.05193594923552585, 0.04100894666249775, 0.057561612142546945, 0.029011249834551927, 0.028498379858090877, 0.026986345344898428, 0.03097578444752847, 0.02927288024188276, 0.022227426404380562, 0.03351544883392114, 0.029125008557577273, 0.03533686633419771]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_GUN_CRIME_20150101-20260101.png,0.8812078680344715,0.6436475830081996,0.41944405851755284,0.6601355241118717
Good job,HATE CRIME,"[9.166064487768184, -0.8934997019336139, -0.05587149759920668]","[0.004272672287138695, 0.007718641270980553, 0.06365665246402205]",0.38877151903225593,0.3596654008909348,"[9.166064487768184, -0.8934997019336139, -0.05587149759920668]","[3.1744143263881943, 0.3373530822840605, 0.032299641140658565]","[0.006112605867264616, 0.011339627518485381, 0.09101208256887396]",0.31262870683219146,0.819255600725251,-0.11505845429233164,-0.6631990936626488,"[0.025464358346458785, 0.0013986654472931909, 3.0438072209107138e-05, 0.002896749381803287, 0.00026653130881180217, 0.031723219660051996, 0.23467360127849324, 0.016701077521332083, 0.007444628538578837, 0.04567292843797699, 0.0304505185836589, 0.04201355730144857, 0.059281313594610155, 0.033396176496767044, 0.017795174261659004, 0.014433838639531306, 0.008017206664823303, 0.004112194897563681, 0.007193688620352206, 0.0038421487926737974, 0.0007046238116510907, 0.012801934031797503, 0.062272075717892464, 8.210997862715182e-07, 0.0008824403061490878, 0.013528178421271193, 0.001290680222670146, 0.0006574783785211666, 0.005374149219490889, 0.006056422529866009, 0.005863265509709568, 0.009250571441902973, 0.007297067169492784, 0.003492290179659266, 0.004593846600799488, 0.004401016262772742, 0.007698601611243373, 0.012164119649038676, 0.011163340024304216, 0.032848156852250426, 0.06427740948411588, 0.03215225020794268, 0.0170931672797536, 0.01687442666143839, 0.031149768756226322]","[0.17058482713904555, 0.11430934937237591, 0.10904417924672627, 0.10611417722746386, 0.12368794446541531, 0.11785925379501205, 0.21269342130879965, 0.107582580440161, 0.10608259243143972, 0.03142480783311328, 0.02841945941735819, 0.09199666165903891, 0.1359062074501856, 0.048879177791359474, 0.05425156421527423, 0.07010261851586465, 0.07218238932979266, 0.03537009609175916, 0.03762420103632802, 0.036524684039516135, 0.038752824754845636, 0.043222164325813335, 0.10177159997396013, 0.02871532460074005, 0.040127696579498114, 0.08592132155849078, 0.07467600959188939, 0.03803152654174704, 0.02648090362227096, 0.041929469567111785, 0.03874795628861373, 0.02880328510884296, 0.027867344851927323, 0.05027630010726059, 0.05761396535449033, 0.15156835765887774, 0.03380085319049901, 0.028107372334843665, 0.03480186778121492, 0.03183902036247477, 0.04351205354076637, 0.033337747438277755, 0.04877820099678776, 0.033489343672727524, 0.027187297390002925]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_HATE_CRIME_20150101-20260101.png,1.4510366723244155,0.4840735910681039,0.69971287007532,0.5024252482705078
Good job,KNIFE CRIME,"[-5.607612472582405, 0.7518720035403847, -0.10765021968849058]","[0.031355678192354824, 0.015518934407363096, 1.251156513349897e-06]",0.43723250296262106,0.41043405072274586,"[-5.607612472582405, 0.7518720035403847, -0.10765021968849058]","[2.8337787975409494, 0.3349274271008493, 0.010455530965826333]","[0.05441492197003154, 0.030100128072333015, 4.662668770022628e-13]",0.20893123478487607,0.09237092822108994,0.0628321750582868,-1.0821856619762718,"[0.0007752027572719954, 0.0007260824471942593, 0.002741064648964683, 0.0013380099624896767, 0.01269023933125607, 0.0017730303180199716, 0.0005121916813285759, 0.00010571735271842798, 0.005341566628282046, 0.06279162879487742, 0.05908700262959255, 0.048223827541503006, 0.04015871832230793, 0.05703677249080362, 0.021479792248369323, 0.01938887388993873, 0.017921924050953872, 0.0036182962800594895, 0.005045890880980461, 0.0018396275819489054, 0.0033411708434192234, 0.1393569316948384, 0.002496562450687523, 0.012946922602202891, 0.08737296694718383, 0.007694127243892325, 4.973321055045469e-06, 2.7616301138823396e-06, 0.0029494971811553886, 0.0042101790907351075, 0.004209977932193534, 0.007302804644706532, 0.005233544145881546, 0.007090581995167704, 0.01576251414266236, 0.015988289027791563, 0.012827791076063666, 0.027992067066858334, 0.03133011633026445, 0.04181541165160346, 0.014597547313901258, 0.024297733694063083, 0.014794091944014449, 0.015644880103566374, 0.019530184128290416]","[0.11383228436981774, 0.10945953777213727, 0.1183706561490534, 0.11435281980107015, 0.12960621570098563, 0.11102460516696763, 0.1374944497957047, 0.12749331109064554, 0.15838291889007983, 0.056294976696556885, 0.0701279015921621, 0.06326051475981236, 0.037336672920365306, 0.07591689690878994, 0.040706315534474874, 0.03808517302165545, 0.04337622670014743, 0.06104641072905497, 0.04180597446711863, 0.05170122533185038, 0.03083688424596249, 0.1582579296850229, 0.02901440636145983, 0.08243663574563062, 0.16702827635773457, 0.07677103107210938, 0.04418477214500682, 0.0712250143446802, 0.07838630604952315, 0.052392812787033095, 0.02608770369919732, 0.026060240881323835, 0.025128947353911985, 0.028951244188407967, 0.037869618377994935, 0.03363737777794989, 0.03359565569131556, 0.04551252675006168, 0.04416717398451299, 0.04226708320257256, 0.0315668448507216, 0.02659897029822824, 0.025756998737831157, 0.045829680521007464, 0.03676077749235154]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_KNIFE_CRIME_20150101-20260101.png,15.233673376456919,0.0004920960247652725,10.74728316165728,0.00017012467640592933
Good job,LETHAL BARREL DISCHARGE,"[-1.7467992781266435, 0.603119059052932, -0.11533513375165422]","[1.73641534188447e-07, 1.6158726100317014e-11, 2.0737994929710622e-10]",0.7891377502977651,0.7790966907881349,"[-1.7467992781266435, 0.603119059052932, -0.11533513375165422]","[0.2934935883576611, 0.07187809561590104, 0.013418880626628387]","[4.6603763896731323e-07, 1.6040673878854767e-10, 8.405638039147406e-11]",1.1256735607564914,0.8968925474806323,-0.042393068923910086,-0.4903884481157079,"[0.016582274142917228, 0.0016929525135942754, 0.0038167438112313608, 0.08282899612751744, 0.005394029055159345, 0.022270650421245413, 0.21937010071736548, 0.00992214879620721, 0.01801326406431115, 0.09368239509809671, 0.03280707671657488, 0.0560691781629564, 0.022243425836125756, 0.04077249815207661, 0.008982085875580349, 0.001654505429341477, 0.020265420431812804, 0.008850055158924992, 0.002543770419670705, 0.006686763686346575, 1.3791872251023939e-05, 0.005524017348046063, 0.03632490247575681, 3.71821228729207e-05, 0.013608726934406831, 1.5799434761047365e-06, 0.009910909256197241, 0.0005980936017414553, 0.0010771142622123197, 0.009891056824943168, 0.09600275449089202, 0.012250117910187978, 0.004662062124242243, 0.007175731182300802, 0.00582626483443723, 0.012188540458598112, 0.005842688390479048, 0.014439641734447846, 0.012383200718941889, 0.013492471400845276, 0.00040143801050386037, 0.036699796941442854, 0.0007654869804909234, 0.08180794035410752, 0.00613750938250761]","[0.11367766828403204, 0.10784929305332924, 0.1085043996140142, 0.12753066548817088, 0.1106224950567101, 0.12207585650523342, 0.1643956216648944, 0.1078492930533293, 0.10831529002496579, 0.07270690759402913, 0.08403934629879385, 0.032041174440356326, 0.07293408354802372, 0.08484474652222226, 0.0694024632256686, 0.10064110785698807, 0.02920157265264724, 0.03097258497320069, 0.040851718912760404, 0.02969334128031933, 0.03681825371639144, 0.028583757721861468, 0.08458822062550635, 0.023153723001100655, 0.04182295910099309, 0.03529257154023596, 0.0249643938210886, 0.02953205316855742, 0.07540886691517362, 0.027142362009271313, 0.054465869705837285, 0.027044370876920642, 0.03276145223817516, 0.03639451836842817, 0.03943773983526945, 0.03088738411337972, 0.07121279958123558, 0.03066265928896843, 0.038123623346351845, 0.04092076148471093, 0.07499881180851406, 0.033641099712160796, 0.08107149543167337, 0.15792616352769603, 0.12499445901080836]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_LETHAL_BARREL_DISCHARGE_20150101-20260101.png,3.8642472232337837,0.14484028714092148,1.972716826851001,0.15175592088261491
Good job,MISCELLANEOUS CRIMES AGAINST SOCIETY,"[-3.866192431947069, 0.5144953918841961, -0.12317684892018475]","[3.401731894720901e-11, 6.278012242372012e-13, 0.0002764137130506225]",0.7562851098922563,0.7446796389347446,"[-3.866192431947069, 0.5144953918841961, -0.12317684892018475]","[0.5350588260554413, 0.059776369205370314, 0.032866856898676626]","[6.9240189807102e-09, 8.093088614228535e-11, 0.0005386256113612616]",0.7236991280678875,0.43229033612034184,-0.320444404267526,-0.525858467286374,"[0.00010666040595813821, 0.0003881000688105251, 0.012607660758045987, 0.002230279839793111, 0.014505500044994245, 0.028271454732127832, 0.022450873862104467, 0.004328073501376013, 8.816903526628634e-05, 0.09559562016049628, 0.0308599297755591, 0.014145352126574959, 0.049762236376148926, 0.01715536898186426, 0.006786062359135989, 0.00025974622193939334, 0.017346870974260648, 0.04231722239051278, 0.06466817048657413, 0.14401153627760735, 0.07866540049668731, 0.07256598891718123, 0.0030766685563653035, 0.03581744526851734, 0.017648230214444557, 0.011220944458617205, 0.008197340400252332, 0.00011092103557476928, 0.020997395445101822, 0.008987402807932017, 9.463575456181356e-05, 0.0011872917240003417, 0.002082189418111034, 0.0010383744433118815, 2.2806252117735145e-07, 0.004072659546123492, 0.0020383680371419658, 0.0003897286179893775, 0.15802104760423843, 0.010394948543536108, 0.017421942978955534, 0.08878785356860507, 0.016823883564477126, 0.005122038284776712, 0.020869807876980253]","[0.08845855571766018, 0.08947510577833709, 0.08156663203294579, 0.08585022986137421, 0.08295291492608034, 0.08312234277653416, 0.08530142916753733, 0.09311907893639743, 0.10035171284061217, 0.11042781121727822, 0.0803726698510647, 0.08295018742602997, 0.07243078878692404, 0.05181480277942161, 0.043419725290885, 0.06542120357165582, 0.06792759120263717, 0.07074143273122489, 0.06112233952764536, 0.11231859802680484, 0.11846110560778912, 0.047798618525784244, 0.025916955678557, 0.043808459741141455, 0.050325917204727594, 0.04019881198655971, 0.04458339660678316, 0.04071980047527871, 0.05687807384065824, 0.042706239520700184, 0.03954500406691633, 0.05942140019869047, 0.03778568887602939, 0.05689437318853828, 0.05368384502164612, 0.06757131728198638, 0.0650777846352063, 0.05520277608172236, 0.10810658602292417, 0.043776900645120964, 0.037879938786788185, 0.051198979134943694, 0.03638738052173557, 0.0950895326990234, 0.0718359612016986]",C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Visual Python Code\Residual Outputs\diagnostics_multivar\diag_Good_job_MISCELLANEOUS_CRIMES_AGAINST_SOCIETY_20150101-20260101.png,0.26753825638436424,0.8747920061030512,0.12559790284453712,0.8822994197036409
