date,residual,metric
2015-01-01 00:00:00,-0.1708248058304107,Good job
2015-04-01 00:00:00,-0.018958200985702556,Good job
2015-07-01 00:00:00,1.7319664725153967,Good job
2015-10-01 00:00:00,2.5010754081667215,Good job
2016-01-01 00:00:00,2.537369378136106,Good job
2016-04-01 00:00:00,2.503114293154466,Good job
2016-07-01 00:00:00,1.8053771196267665,Good job
2016-10-01 00:00:00,1.3795502452835156,Good job
2017-01-01 00:00:00,1.013773401419236,Good job
2017-04-01 00:00:00,9.80605539373097,Good job
2017-07-01 00:00:00,8.759905685368123,Good job
2017-10-01 00:00:00,7.545920774774116,Good job
2018-01-01 00:00:00,6.406248804604134,Good job
2018-04-01 00:00:00,6.384412147892497,Good job
2018-07-01 00:00:00,5.116573740033521,Good job
2018-10-01 00:00:00,3.0190237746518305,Good job
2019-01-01 00:00:00,2.0832384374672674,Good job
2019-04-01 00:00:00,1.3423486757854795,Good job
2019-07-01 00:00:00,2.0915304922143165,Good job
2019-10-01 00:00:00,0.1931462682325395,Good job
2020-01-01 00:00:00,0.23698973750202548,Good job
2020-04-01 00:00:00,5.51351841162877,Good job
2020-07-01 00:00:00,4.765206545531129,Good job
2020-10-01 00:00:00,2.775604392608141,Good job
2021-01-01 00:00:00,1.4944173019265978,Good job
2021-04-01 00:00:00,3.0230502115101747,Good job
2021-07-01 00:00:00,1.111797431335835,Good job
2021-10-01 00:00:00,0.6744926694405625,Good job
2022-01-01 00:00:00,-1.8600129034642274,Good job
2022-04-01 00:00:00,-2.5618078590320885,Good job
2022-07-01 00:00:00,-0.7789757836522524,Good job
2022-10-01 00:00:00,-2.318166869013665,Good job
2023-01-01 00:00:00,-2.8657141199438847,Good job
2023-04-01 00:00:00,-2.3152931980494906,Good job
2023-07-01 00:00:00,-4.16218070058854,Good job
2023-10-01 00:00:00,-4.730825246787153,Good job
2024-01-01 00:00:00,-5.635887330048105,Good job
2024-04-01 00:00:00,-5.3791115430923595,Good job
2024-07-01 00:00:00,-6.014076656661366,Good job
2024-10-01 00:00:00,-6.632859004159077,Good job
2025-01-01 00:00:00,-7.732699882890633,Good job
2025-04-01 00:00:00,-6.616599903595347,Good job
2025-07-01 00:00:00,-3.995933868522841,Good job
2025-10-01 00:00:00,-4.65648112349016,Good job
2026-01-01 00:00:00,-5.135378729007787,Good job
2016-01-01 00:00:00,1.2243913981860182,Trust MPS
2016-04-01 00:00:00,1.2010318846270664,Trust MPS
2016-07-01 00:00:00,1.4384280185811058,Trust MPS
2016-10-01 00:00:00,1.5356115025648764,Trust MPS
2017-01-01 00:00:00,1.427187940339192,Trust MPS
2017-04-01 00:00:00,6.422020455214028,Trust MPS
2017-07-01 00:00:00,5.05438692685795,Trust MPS
