crime_type,date,residual
ARSON AND CRIMINAL DAMAGE,3/1/2024,2.554687455
ARSON AND CRIMINAL DAMAGE,4/1/2024,-2.703640185
ARSON AND CRIMINAL DAMAGE,5/1/2024,-12.36328175
ARSON AND CRIMINAL DAMAGE,6/1/2024,-10.54728343
ARSON AND CRIMINAL DAMAGE,7/1/2024,-27.11922857
ARSON AND CRIMINAL DAMAGE,8/1/2024,13.63830546
ARSON AND CRIMINAL DAMAGE,9/1/2024,-6.554988271
ARSON AND CRIMINAL DAMAGE,10/1/2024,-6.909169171
ARSON AND CRIMINAL DAMAGE,11/1/2024,-11.4786231
ARSON AND CRIMINAL DAMAGE,12/1/2024,-0.169084022
ARSON AND CRIMINAL DAMAGE,1/1/2025,-7.697522558
ARSON AND CRIMINAL DAMAGE,2/1/2025,-2.123990206
ARSON AND CRIMINAL DAMAGE,3/1/2025,-0.500150408
ARSON AND CRIMINAL DAMAGE,4/1/2025,-13.80357186
ARSON AND CRIMINAL DAMAGE,5/1/2025,73.0416586
ARSON AND CRIMINAL DAMAGE,6/1/2025,-11.35557691
ARSON AND CRIMINAL DAMAGE,7/1/2025,-10.57900678
ARSON AND CRIMINAL DAMAGE,8/1/2025,-4.678486462
ARSON AND CRIMINAL DAMAGE,9/1/2025,-2.100875692
ARSON AND CRIMINAL DAMAGE,10/1/2025,2.734610719
ARSON AND CRIMINAL DAMAGE,11/1/2025,-4.852292099
ARSON AND CRIMINAL DAMAGE,12/1/2025,-9.082974809
ARSON AND CRIMINAL DAMAGE,1/1/2026,2.280950139
ARSON AND CRIMINAL DAMAGE,2/1/2026,3.105105292
ARSON AND CRIMINAL DAMAGE,3/1/2026,-9.88356345
ARSON AND CRIMINAL DAMAGE,4/1/2026,-16.30436547
ARSON AND CRIMINAL DAMAGE,5/1/2026,-23.36532096
BURGLARY,4/1/2017,-3.586033137
BURGLARY,5/1/2017,-14.4548098
BURGLARY,6/1/2017,-9.975339899
BURGLARY,7/1/2017,-10.4231599
BURGLARY,8/1/2017,-11.68055953
BURGLARY,9/1/2017,-1.560114086
BURGLARY,10/1/2017,-7.971920932
BURGLARY,11/1/2017,-11.13642225
BURGLARY,12/1/2017,-0.324530747
BURGLARY,1/1/2018,-4.605114253
BURGLARY,2/1/2018,-15.36122769
BURGLARY,3/1/2018,1.850064677
BURGLARY,4/1/2018,229.8702529
BURGLARY,5/1/2018,31.72388839
BURGLARY,6/1/2018,15.20267449
BURGLARY,7/1/2018,-6.852159282
BURGLARY,8/1/2018,5.113195151
BURGLARY,9/1/2018,4.217815646
BURGLARY,10/1/2018,3.867941005
BURGLARY,11/1/2018,1.143216963
BURGLARY,12/1/2018,12.81747049
BURGLARY,1/1/2019,-9.676456768
BURGLARY,2/1/2019,13.23500818
BURGLARY,3/1/2019,-4.485352603
BURGLARY,4/1/2019,-8.927865055
BURGLARY,5/1/2019,11.6078062
BURGLARY,6/1/2019,-1.190311736
BURGLARY,7/1/2019,-11.86730044
BURGLARY,8/1/2019,-5.155666168
BURGLARY,9/1/2019,-14.98774588
BURGLARY,10/1/2019,-2.858834418
BURGLARY,11/1/2019,-4.864565263
BURGLARY,12/1/2019,-10.55233186
BURGLARY,1/1/2020,3.660328098
BURGLARY,2/1/2020,26.14784072
BURGLARY,3/1/2020,0.887022122
BURGLARY,4/1/2020,-4.553178453
BURGLARY,5/1/2020,5.296093794
BURGLARY,6/1/2020,-4.808526701
BURGLARY,7/1/2020,-4.079016104
BURGLARY,8/1/2020,-10.25566291
BURGLARY,9/1/2020,-11.1944145
BURGLARY,10/1/2020,-10.45549359
BURGLARY,11/1/2020,0.714738576
BURGLARY,12/1/2020,-6.973711815
BURGLARY,1/1/2021,7.433731773
BURGLARY,2/1/2021,-5.365069958
BURGLARY,3/1/2021,-3.302453959
BURGLARY,4/1/2021,3.130224887
BURGLARY,5/1/2021,-2.041374866
BURGLARY,6/1/2021,-5.419903732
BURGLARY,7/1/2021,-3.440091938
BURGLARY,8/1/2021,-5.833761959
BURGLARY,9/1/2021,3.358026
BURGLARY,10/1/2021,21.14237037
BURGLARY,11/1/2021,12.63766522
BURGLARY,12/1/2021,3.939804515
BURGLARY,1/1/2022,-5.852582578
BURGLARY,2/1/2022,-4.117080639
BURGLARY,3/1/2022,6.600968268
BURGLARY,4/1/2022,-2.703906206
BURGLARY,5/1/2022,-5.282949547
