date,crime_type,crime_count,headline_count,crime_z,headline_z,divergence
3/1/2016,KNIFE CRIME,1441,123,-0.974844421,-0.265048287,0.709796135
3/1/2016,MISCELLANEOUS,2113,0,-1.03846344,-0.436446594,0.602016846
3/1/2016,HATE CRIME,4238,32,-1.185820673,-0.516161754,0.669658919
3/1/2016,DOMESTIC ABUSE,7987,7,-1.43830905,0.240873699,1.679182749
4/1/2016,LETHAL BARREL DISCHARGE,27,36,0.502134672,-0.624281047,-1.126415719
4/1/2016,GUN CRIME,199,22,0.178025733,0.063512972,-0.114512761
4/1/2016,KNIFE CRIME,1414,102,-1.072876235,-0.477209375,0.59566686
4/1/2016,MISCELLANEOUS,1891,0,-1.17659088,-0.436446594,0.740144286
4/1/2016,HATE CRIME,4501,78,-0.937142381,0.798491841,1.735634223
4/1/2016,DOMESTIC ABUSE,7925,1,-1.51635912,-1.03947509,0.476884029
5/1/2016,LETHAL BARREL DISCHARGE,37,43,1.465532589,-0.387484788,-1.853017377
5/1/2016,GUN CRIME,220,31,0.56568271,0.818047083,0.252364373
5/1/2016,KNIFE CRIME,1720,150,0.038150989,0.007730256,-0.030420733
5/1/2016,MISCELLANEOUS,2185,0,-0.993665351,-0.436446594,0.557218757
5/1/2016,HATE CRIME,4927,119,-0.534340281,1.970248307,2.504588588
5/1/2016,DOMESTIC ABUSE,8671,3,-0.577240539,-0.612692161,-0.035451622
6/1/2016,LETHAL BARREL DISCHARGE,21,95,-0.075904078,1.371573137,1.447477215
6/1/2016,GUN CRIME,253,35,1.174857959,1.153395577,-0.021462382
6/1/2016,KNIFE CRIME,1687,88,-0.081665672,-0.618650101,-0.536984429
6/1/2016,MISCELLANEOUS,2404,0,-0.857404498,-0.436446594,0.420957904
6/1/2016,HATE CRIME,5362,106,-0.123028277,1.598715769,1.721744046
6/1/2016,DOMESTIC ABUSE,8406,5,-0.910841643,-0.185909231,0.724932413
7/1/2016,LETHAL BARREL DISCHARGE,43,49,2.04357134,-0.184516566,-2.228087905
7/1/2016,GUN CRIME,323,17,2.467047881,-0.355672645,-2.822720526
7/1/2016,KNIFE CRIME,1859,107,0.542833291,-0.42669483,-0.969528121
7/1/2016,MISCELLANEOUS,2364,0,-0.882292325,-0.436446594,0.445845731
7/1/2016,HATE CRIME,7414,72,1.817229728,0.627015285,-1.190214442
7/1/2016,DOMESTIC ABUSE,9014,7,-0.145447411,0.240873699,0.38632111
8/1/2016,LETHAL BARREL DISCHARGE,50,95,2.717949882,1.371573137,-1.346376745
8/1/2016,GUN CRIME,314,45,2.300909177,1.991766811,-0.309142366
8/1/2016,KNIFE CRIME,1845,283,0.49200198,1.351417152,0.859415172
8/1/2016,MISCELLANEOUS,2290,0,-0.928334805,-0.436446594,0.491888211
8/1/2016,HATE CRIME,5608,49,0.109575753,-0.030311512,-0.139887265
8/1/2016,DOMESTIC ABUSE,8871,8,-0.32546612,0.454265164,0.779731284
9/1/2016,LETHAL BARREL DISCHARGE,24,62,0.213115297,0.255247916,0.042132619
9/1/2016,GUN CRIME,260,22,1.304076951,0.063512972,-1.240563979
9/1/2016,KNIFE CRIME,1750,116,0.147075227,-0.33576865,-0.482843877
9/1/2016,MISCELLANEOUS,2240,0,-0.959444589,-0.436446594,0.522997995
9/1/2016,HATE CRIME,5107,50,-0.36414221,-0.001732086,0.362410124
9/1/2016,DOMESTIC ABUSE,7970,15,-1.459709876,1.948005418,3.407715294
10/1/2016,LETHAL BARREL DISCHARGE,30,57,0.791154047,0.086107731,-0.705046317
10/1/2016,GUN CRIME,246,30,1.045638967,0.73420996,-0.311429007
10/1/2016,KNIFE CRIME,1826,155,0.423016629,0.058244801,-0.364771828
10/1/2016,MISCELLANEOUS,2280,1,-0.934556762,0.492762283,1.427319045
10/1/2016,HATE CRIME,4783,58,-0.670498737,0.226903322,0.897402059
10/1/2016,DOMESTIC ABUSE,8163,4,-1.216747562,-0.399300696,0.817446866
11/1/2016,LETHAL BARREL DISCHARGE,19,31,-0.268583662,-0.793421232,-0.52483757
11/1/2016,GUN CRIME,295,12,1.950171912,-0.774858262,-2.725030174
11/1/2016,KNIFE CRIME,1763,154,0.19427573,0.048141892,-0.146133838
11/1/2016,MISCELLANEOUS,2675,0,-0.688789469,-0.436446594,0.252342875
11/1/2016,HATE CRIME,4454,34,-0.981582989,-0.459002902,0.522580086
11/1/2016,DOMESTIC ABUSE,7382,9,-2.199926666,0.667656629,2.867583295
12/1/2016,LETHAL BARREL DISCHARGE,12,56,-0.942962204,0.052279694,0.995241897
12/1/2016,GUN CRIME,238,29,0.897960118,0.650372836,-0.247587282
12/1/2016,KNIFE CRIME,1693,138,-0.059880825,-0.113504652,-0.053623827
12/1/2016,MISCELLANEOUS,3093,0,-0.428711676,-0.436446594,-0.007734918
12/1/2016,HATE CRIME,4667,52,-0.780181939,0.055426766,0.835608704
12/1/2016,DOMESTIC ABUSE,8180,8,-1.195346736,0.454265164,1.6496119
1/1/2017,LETHAL BARREL DISCHARGE,15,55,-0.653942829,0.018451657,0.672394485
1/1/2017,GUN CRIME,225,40,0.65798199,1.572581194,0.914599204
1/1/2017,KNIFE CRIME,1901,112,0.695327224,-0.376180286,-1.071507509
1/1/2017,MISCELLANEOUS,2607,0,-0.731098775,-0.436446594,0.294652181
1/1/2017,HATE CRIME,3953,41,-1.455300952,-0.25894692,1.196354032
1/1/2017,DOMESTIC ABUSE,7867,6,-1.589373701,0.027482234,1.616855935
2/1/2017,LETHAL BARREL DISCHARGE,22,42,0.020435713,-0.421312825,-0.441748538
2/1/2017,GUN CRIME,275,21,1.580974792,-0.020324151,-1.601298943
2/1/2017,KNIFE CRIME,1671,128,-0.139758599,-0.214533742,-0.074775143
2/1/2017,MISCELLANEOUS,2699,0,-0.673856773,-0.436446594,0.237410179
2/1/2017,HATE CRIME,4027,47,-1.385330634,-0.087470364,1.29786027
2/1/2017,DOMESTIC ABUSE,7467,6,-2.092922538,0.027482234,2.120404772
3/1/2017,LETHAL BARREL DISCHARGE,21,106,-0.075904078,1.743681544,1.819585622
3/1/2017,GUN CRIME,235,21,0.84258055,-0.020324151,-0.862904701
3/1/2017,KNIFE CRIME,2173,165,1.682906979,0.159273891,-1.523633088
3/1/2017,MISCELLANEOUS,3633,0,-0.09272601,-0.436446594,-0.343720584
3/1/2017,HATE CRIME,5046,67,-0.421820445,0.484118155,0.905938601
3/1/2017,DOMESTIC ABUSE,8406,7,-0.910841643,0.240873699,1.151715342
4/1/2017,LETHAL BARREL DISCHARGE,26,63,0.40579488,0.289075953,-0.116718928
4/1/2017,GUN CRIME,214,33,0.454923573,0.98572133,0.530797757
4/1/2017,SEXUAL OFFENCES,1441,89,-1.432112822,0.050466914,1.482579736
4/1/2017,KNIFE CRIME,2042,186,1.207271141,0.37143498,-0.835836161
4/1/2017,ROBBERY,2498,45,-0.194544684,0.646905113,0.841449797
4/1/2017,DRUG OFFENCES,2891,99,-1.158684401,0.239491738,1.398176139
4/1/2017,MISCELLANEOUS,3272,0,-0.31733865,-0.436446594,-0.119107944
4/1/2017,PUBLIC ORDER OFFENCES,3761,2,-1.298822957,-0.433918902,0.864904055
4/1/2017,HATE CRIME,4887,71,-0.572162074,0.598435859,1.170597934
4/1/2017,ARSON AND CRIMINAL DAMAGE,5136,22,1.427919677,0.126497739,-1.301421938
4/1/2017,BURGLARY,5852,15,0.198178988,-0.100859762,-0.299038751
4/1/2017,DOMESTIC ABUSE,8503,13,-0.78873105,1.521222488,2.309953539
4/1/2017,VEHICLE OFFENCES,8594,7,-0.134800314,0.110996751,0.245797064
4/1/2017,VIOLENCE AGAINST THE PERSON,15860,624,-1.929922453,2.484225308,4.414147761
4/1/2017,THEFT,17894,46,-0.48962527,0.246207681,0.735832951
5/1/2017,LETHAL BARREL DISCHARGE,37,53,1.465532589,-0.049204417,-1.514737007
5/1/2017,GUN CRIME,256,12,1.230237527,-0.774858262,-2.005095789
5/1/2017,SEXUAL OFFENCES,1706,95,-0.480135162,0.184905746,0.665040908
5/1/2017,KNIFE CRIME,1877,182,0.608187833,0.331023344,-0.27716449
5/1/2017,ROBBERY,2482,56,-0.226039767,1.323110547,1.549150314
5/1/2017,DRUG OFFENCES,3193,121,-0.74043921,0.844388253,1.584827463
5/1/2017,MISCELLANEOUS,3386,1,-0.246408343,0.492762283,0.739170626
5/1/2017,PUBLIC ORDER OFFENCES,4352,5,-0.266071793,0.019787833,0.285859626
5/1/2017,HATE CRIME,5190,27,-0.285661989,-0.659058884,-0.373396895
5/1/2017,ARSON AND CRIMINAL DAMAGE,5482,16,2.319875576,-0.146024235,-2.465899812
5/1/2017,BURGLARY,5826,4,0.175574997,-0.548829349,-0.724404346
5/1/2017,DOMESTIC ABUSE,8852,3,-0.34938469,-0.612692161,-0.26330747
5/1/2017,VEHICLE OFFENCES,9221,9,0.386355581,0.415526297,0.029170716
5/1/2017,VIOLENCE AGAINST THE PERSON,17534,634,-0.863645313,2.54551753,3.409162843
5/1/2017,THEFT,19622,47,-0.081923574,0.316086254,0.398009828
6/1/2017,LETHAL BARREL DISCHARGE,40,85,1.754551964,1.033292767,-0.721259198
6/1/2017,GUN CRIME,287,20,1.802493064,-0.104161275,-1.906654339
6/1/2017,SEXUAL OFFENCES,1813,50,-0.095751729,-0.823385496,-0.727633767
6/1/2017,KNIFE CRIME,2209,220,1.813616064,0.714933885,-1.098682179
6/1/2017,ROBBERY,2508,51,-0.174860258,1.015744441,1.190604698
6/1/2017,DRUG OFFENCES,2875,82,-1.180843087,-0.227928296,0.952914791
6/1/2017,MISCELLANEOUS,3217,0,-0.351559412,-0.436446594,-0.084887182
6/1/2017,PUBLIC ORDER OFFENCES,4970,18,0.813860896,1.985850351,1.171989455
6/1/2017,ARSON AND CRIMINAL DAMAGE,5328,182,1.922877864,7.393750388,5.470872524
6/1/2017,BURGLARY,5731,8,0.092983491,-0.385931317,-0.478914809
6/1/2017,HATE CRIME,6854,73,1.287724619,0.655594711,-0.632129908
6/1/2017,VEHICLE OFFENCES,8407,2,-0.290232774,-0.650327116,-0.360094342
6/1/2017,DOMESTIC ABUSE,9151,2,0.027018065,-0.826083625,-0.853101691
6/1/2017,VIOLENCE AGAINST THE PERSON,18037,1432,-0.5432526,7.436636838,7.979889438
6/1/2017,THEFT,18943,33,-0.242125803,-0.662213764,-0.420087961
7/1/2017,LETHAL BARREL DISCHARGE,44,27,2.139911131,-0.92873338,-3.068644511
7/1/2017,GUN CRIME,355,22,3.057763275,0.063512972,-2.994250302
7/1/2017,SEXUAL OFFENCES,1778,78,-0.221484628,-0.196004279,0.025480349
7/1/2017,KNIFE CRIME,2181,117,1.711953442,-0.325665741,-2.037619183
7/1/2017,ROBBERY,2941,38,0.677475418,0.216592565,-0.460882853
7/1/2017,DRUG OFFENCES,3276,74,-0.625491028,-0.447890665,0.177600364
7/1/2017,MISCELLANEOUS,3539,0,-0.151212404,-0.436446594,-0.28523419
7/1/2017,PUBLIC ORDER OFFENCES,4957,8,0.791143866,0.473494568,-0.317649298
7/1/2017,ARSON AND CRIMINAL DAMAGE,5471,60,2.291518597,1.852470243,-0.439048354
7/1/2017,HATE CRIME,6158,49,0.629625413,-0.030311512,-0.659936925
7/1/2017,BURGLARY,6216,10,0.514634863,-0.304482302,-0.819117164
7/1/2017,VEHICLE OFFENCES,8646,3,-0.091578453,-0.498062342,-0.406483889
7/1/2017,DOMESTIC ABUSE,9351,5,0.278792484,-0.185909231,-0.464701715
7/1/2017,VIOLENCE AGAINST THE PERSON,18300,327,-0.375731162,0.663846317,1.039577479
7/1/2017,THEFT,20526,49,0.131364813,0.455843399,0.324478586
8/1/2017,LETHAL BARREL DISCHARGE,50,35,2.717949882,-0.658109084,-3.376058965
8/1/2017,GUN CRIME,259,20,1.285617095,-0.104161275,-1.38977837
8/1/2017,SEXUAL OFFENCES,1651,76,-0.677715431,-0.240817223,0.436898208
8/1/2017,KNIFE CRIME,2147,129,1.588505973,-0.204430833,-1.792936805
8/1/2017,ROBBERY,2728,44,0.258197129,0.585431892,0.327234763
8/1/2017,MISCELLANEOUS,3289,1,-0.306761323,0.492762283,0.799523607
8/1/2017,DRUG OFFENCES,3414,134,-0.434372365,1.201827102,1.636199467
8/1/2017,PUBLIC ORDER OFFENCES,4222,12,-0.4932421,1.078436881,1.571678981
8/1/2017,ARSON AND CRIMINAL DAMAGE,5174,32,1.525880151,0.580701029,-0.945179122
8/1/2017,HATE CRIME,5286,37,-0.194889685,-0.373264624,-0.17837494
8/1/2017,BURGLARY,6267,9,0.55897346,-0.345206809,-0.90418027
8/1/2017,VEHICLE OFFENCES,8633,4,-0.102383918,-0.345797569,-0.243413651
8/1/2017,DOMESTIC ABUSE,8838,1,-0.367008899,-1.03947509,-0.672466191
8/1/2017,VIOLENCE AGAINST THE PERSON,16154,306,-1.742655142,0.535132651,2.277787793
8/1/2017,THEFT,20046,46,0.018114342,0.246207681,0.228093339
9/1/2017,LETHAL BARREL DISCHARGE,21,53,-0.075904078,-0.049204417,0.026699661
9/1/2017,GUN CRIME,236,16,0.861040406,-0.439509768,-1.300550174
9/1/2017,SEXUAL OFFENCES,1672,60,-0.602275692,-0.599320776,0.002954916
9/1/2017,KNIFE CRIME,2028,122,1.15643983,-0.275151196,-1.431591025
