date,metric,crime_type,residual,residual_z,perception_obs_pct,perception_pred_pct,headline_count,crime_count
2017-04-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,9.478294909938956,1.31876243196179,69.09375,59.61545509006104,107,15946
2017-07-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,9.310955646955987,1.2958026760452714,68.65625,59.34529435304401,64,15606
2017-10-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,9.140247135464108,1.272380642944022,68.34375,59.20350286453589,41,15354
2018-01-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,12.287754312103027,1.7042338448340957,67.53125,55.24349568789697,29,13798
2018-04-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,9.374442545316287,1.3045133854404578,65.9375,56.563057454683715,69,14605
2018-07-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,9.628121316011828,1.3393193392408216,64.40625,54.77812868398817,83,14060
2018-10-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,7.18466118517298,1.0040647958912772,63.24999999999999,56.065338814827015,42,14225
2019-01-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,5.76906120920575,0.8098376351863499,61.3125,55.543438790794255,28,13885
2019-04-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,3.6284782103331192,0.5161392986628586,59.68750000000001,56.059021789666886,55,14333
2019-07-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,3.558245090632295,0.506502975083791,59.40625000000001,55.84800490936771,37,14099
2019-10-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,3.051587210786444,0.43698706442972374,58.9375,55.885912789213556,28,14001
2020-01-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,4.9785041086773845,0.7013693788868749,58.1875,53.208995891322616,30,13149
2020-04-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,10.734437564869214,1.4911112772920199,58.9375,48.20306243513078,37,11730
2020-07-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,2.8422747639187396,0.4082683847564371,57.78124999999999,54.938975236081255,27,13669
2020-10-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,4.528942518549329,0.6396873552255621,56.71874999999999,52.189807481450664,12,12509
2021-01-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,8.465267201946602,1.1797701327394496,56.125,47.6597327980534,15,11289
2021-04-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,0.0011782673314364445,0.018456209573380955,54.50000000000001,54.49882173266857,44,13713
2021-07-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,-1.201362609952794,-0.14653821271526093,52.90625,54.107612609952795,42,13566
2021-10-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,-1.3091508199283064,-0.16132727624763762,51.81250000000001,53.12165081992831,40,13229
2022-01-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,-1.164180785443586,-0.14143668662960385,49.40625,50.57043078544359,33,12375
2022-04-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,-4.73289734411908,-0.631081852156398,49.21875,53.95164734411908,34,13434
2022-07-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,-3.119868876817733,-0.4097665479327607,50.15625,53.27611887681773,45,13323
2022-10-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,-4.335143175551092,-0.5765080572065049,49.15625,53.491393175551096,10,12844
2023-01-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,-1.326166913720217,-0.16366196658360865,50.09375,51.41991691372022,40,12699
2023-04-01 00:00:00,Good job,ARSON AND CRIMINAL DAMAGE,-7.438307416981315,-1.0022771940011244,48.78125,56.21955741698132,51,14358
